Key,Value
"Proxy_Automatic_Config_Group/Description","Change proxy settings"
"Proxy_Automatic_Config_Group/HighKeywords","configuration configurations"
"SettingsGroupAppSizesList/Description","Apps & features"
"SettingsGroupAppSizesList/HighKeywords","app apps;cleanup;program programs;remove removes;size sizes;feature features;uninstall uninstalls;installed"
"SettingsGroupAutoplayDefaults/Description","Choose AutoPlay defaults"
"SettingsGroupAutoplayDefaults/HighKeywords","AutoPlay"
"SettingsGroupDataSenseMainPageOverview/Description","Data usage overview"
"SettingsGroupDataSenseMainPageOverview/HighKeywords","Data;limit;Usage"
"SettingsGroupDataSenseMainPageSettings/Description","Change data usage limits"
"SettingsGroupDataSenseMainPageSettings/HighKeywords","Edit plan;plan;limit;edit limit;change limit"
"SettingsGroupEaseOfAccessFilterKeys/Description","Ignore brief or repeated keystrokes"
"SettingsGroupEaseOfAccessFilterKeys/HighKeywords","filter filters;key keys;slow;bounce"
"SettingsGroupEaseOfAccessNarrator/Description","Change Narrator settings"
"SettingsGroupEaseOfAccessNarrator/HighKeywords","access;Accessibility disability disabilities;ease;of;reader readers;screen screens;setting settings"
"SettingsGroupEaseOfAccessOSK/Description","On-Screen Keyboard"
"SettingsGroupEaseOfAccessOSK/HighKeywords","on;OSK;screen screens;keyboard keyboards"
"SettingsGroupEaseOfAccessOther/Description","Underline keyboard shortcuts and other keyboard settings"
"SettingsGroupEaseOfAccessOther/HighKeywords","underline keyboard shortcuts;show underlines;show shortcuts"
"SettingsGroupEaseOfAccessStickyKeys/Description","Press one key at a time for keyboard shortcuts"
"SettingsGroupEaseOfAccessStickyKeys/HighKeywords","sticky;key keys"
"SettingsGroupEaseOfAccessToggleKeys/Description","Hear a tone when pressing Caps Lock, Num Lock, and Scroll Lock"
"SettingsGroupEaseOfAccessToggleKeys/HighKeywords","toggle keys;toggle beep;pressed"
"SettingsGroupFamilyUsers/Description","Allow family members to use this PC"
"SettingsGroupFamilyUsers/HighKeywords","family families;child children;kid kids;parent parents;safety"
"SettingsGroupInputMouse/Description","Change your mouse settings"
"SettingsGroupInputMouse/HighKeywords","left;Mouse mice;right"
"SettingsGroupLockScreenPreview/Description","Turn the lock screen slideshow on or off"
"SettingsGroupLockScreenPreview/HighKeywords","lock locks;photo photos;picture pictures;screen screens"
"SettingsGroupMapsUpdates/Description","Manage map updates"
"SettingsGroupMapsUpdates/HighKeywords","map updates;map update;maps update;automatic updates;check for"
"SettingsGroupNotificationsAppList/Description","Choose which apps show notifications"
"SettingsGroupNotificationsAppList/HighKeywords","Announcement announcements;app apps;display displays;monitor monitors;Notification notifications;screen screens;Show shows"
"SettingsGroupPCSystemDetails/Description","See organization or workgroup for this PC"
"SettingsGroupPCSystemDetails/HighKeywords","computer;domain"
"SettingsGroupPCSystemDeviceEncryption/Description","Change device encryption settings"
"SettingsGroupPCSystemDeviceEncryption/HighKeywords","bitlocker;cryptography;decode;decryption;device devices;encode encodes;encryption encryptions;locker;protection;secure;tpm"
"SettingsGroupPCSystemSupportInfo/Description","Get PC support info"
"SettingsGroupPCSystemSupportInfo/HighKeywords","Help;Support"
"SettingsGroupPCSystemTouchKeyboard/Description","Touch keyboard settings"
"SettingsGroupPCSystemTouchKeyboard/HighKeywords",""
"SettingsGroupPCSystemWindowsInfo/Description","See if Windows is activated"
"SettingsGroupPCSystemWindowsInfo/HighKeywords","Activate activates;Activation activations"
"SettingsGroupPen/Description","Change your pen settings"
"SettingsGroupPen/HighKeywords","pen pens;handedness;cursor cursors;visual visuals"
"SettingsGroupPersonalizeColorChoose/Description","Choose your accent color"
"SettingsGroupPersonalizeColorChoose/HighKeywords","color;colors;accent;theme;appearance settings;appearances;"
"SettingsGroupPowerAndSleepDisplayOff/Description","Choose when to turn off the screen"
"SettingsGroupPowerAndSleepDisplayOff/HighKeywords","display displays;monitor monitors;screen screens"
"SettingsGroupPowerAndSleepDisplayOffAoAc/Description","Change when the screen is turned off"
"SettingsGroupPowerAndSleepDisplayOffAoAc/HighKeywords",""
"SettingsGroupPowerAndSleepSleep/Description","Change when the PC sleeps"
"SettingsGroupPowerAndSleepSleep/HighKeywords","screen screens;sleep sleeps"
"SettingsGroupPrivacyLocationHistory/Description","Clear location history"
"SettingsGroupPrivacyLocationHistory/HighKeywords",""
"SettingsGroupRegionDateTimeFormats/Description","See the current date and time formats"
"SettingsGroupRegionDateTimeFormats/HighKeywords",""
"SettingsGroupSpeechMicrophone/Description","Microphone setup"
"SettingsGroupSpeechMicrophone/HighKeywords","mic microphone"
"SettingsGroupSpeechTextToSpeech/Description","Change text-to-speech settings"
"SettingsGroupSpeechTextToSpeech/HighKeywords","voice;speed;default;change"
"SettingsGroupSyncAccounts/Description","Add, remove, or manage email accounts"
"SettingsGroupSyncAccounts/HighKeywords","Add remove manage;email e-mail;mail;account accounts"
